,Title,Average Score,Score Count,Genres
37,Stonehearth,74.34340896936035,16,Strategy
37,Stonehearth,74.34340896936035,16,Indie
38,Ruthnar Online,90.36528669470889,15,Point-and-click
38,Ruthnar Online,90.36528669470889,15,Role-playing (RPG)
38,Ruthnar Online,90.36528669470889,15,Indie
39,Crab Champions,62.22104126393624,15,Fighting
39,Crab Champions,62.22104126393624,15,Shooter
39,Crab Champions,62.22104126393624,15,Racing
39,Crab Champions,62.22104126393624,15,Adventure
39,Crab Champions,62.22104126393624,15,Indie
40,Vintage Story,85.84657336754606,15,Indie
41,Software Inc.,79.30190344351979,15,Simulator
41,Software Inc.,79.30190344351979,15,Strategy
41,Software Inc.,79.30190344351979,15,Indie
42,Startup Company,66.0951021929778,15,Simulator
42,Startup Company,66.0951021929778,15,Strategy
42,Startup Company,66.0951021929778,15,Indie
43,A Twisted Path To Renown,93.30718954248367,14,Shooter
43,A Twisted Path To Renown,93.30718954248367,14,Role-playing (RPG)
43,A Twisted Path To Renown,93.30718954248367,14,Simulator
44,Deep Rock Galactic: Survivor,77.30653437646535,14,Adventure
45,Stream Racer,84.76923076923077,14,Racing
45,Stream Racer,84.76923076923077,14,Simulator
46,Everspace 2,73.33999603357731,14,Shooter
46,Everspace 2,73.33999603357731,14,Role-playing (RPG)
46,Everspace 2,73.33999603357731,14,Simulator
46,Everspace 2,73.33999603357731,14,Adventure
46,Everspace 2,73.33999603357731,14,Indie
47,Rustler,65.5853557741938,14,Shooter
47,Rustler,65.5853557741938,14,Racing
47,Rustler,65.5853557741938,14,Role-playing (RPG)
47,Rustler,65.5853557741938,14,Adventure
47,Rustler,65.5853557741938,14,Indie
48,Aimlabs,70.29421912212247,14,Shooter
48,Aimlabs,70.29421912212247,14,Simulator
48,Aimlabs,70.29421912212247,14,Indie
49,Mashinky,89.48685336772036,14,Simulator
49,Mashinky,89.48685336772036,14,Strategy
49,Mashinky,89.48685336772036,14,Indie
50,Shark Dating Simulator XL,57.69230769230769,14,Role-playing (RPG)
50,Shark Dating Simulator XL,57.69230769230769,14,Simulator
50,Shark Dating Simulator XL,57.69230769230769,14,Adventure
50,Shark Dating Simulator XL,57.69230769230769,14,Indie
51,Stoneshard,76.92554119475231,14,Role-playing (RPG)
51,Stoneshard,76.92554119475231,14,Strategy
51,Stoneshard,76.92554119475231,14,Turn-based strategy (TBS)
51,Stoneshard,76.92554119475231,14,Tactical
51,Stoneshard,76.92554119475231,14,Adventure
51,Stoneshard,76.92554119475231,14,Indie
52,Caves of Qud,82.4420545025512,14,Role-playing (RPG)
52,Caves of Qud,82.4420545025512,14,Simulator
52,Caves of Qud,82.4420545025512,14,Strategy
52,Caves of Qud,82.4420545025512,14,Turn-based strategy (TBS)
52,Caves of Qud,82.4420545025512,14,Adventure
52,Caves of Qud,82.4420545025512,14,Indie
53,Surviving the Aftermath,57.49151311423476,13,Simulator
53,Surviving the Aftermath,57.49151311423476,13,Strategy
54,Skater XL,71.959770803452,13,Simulator
54,Skater XL,71.959770803452,13,Sport
54,Skater XL,71.959770803452,13,Indie
55,Beast Battle Simulator,96.41172265904217,13,Role-playing (RPG)
55,Beast Battle Simulator,96.41172265904217,13,Simulator
55,Beast Battle Simulator,96.41172265904217,13,Sport
55,Beast Battle Simulator,96.41172265904217,13,Strategy
55,Beast Battle Simulator,96.41172265904217,13,Indie
56,Colony Survival,80.18728587470066,13,Simulator
56,Colony Survival,80.18728587470066,13,Strategy
56,Colony Survival,80.18728587470066,13,Adventure
56,Colony Survival,80.18728587470066,13,Indie
57,Exanima,79.92067603935372,13,Role-playing (RPG)
57,Exanima,79.92067603935372,13,Simulator
57,Exanima,79.92067603935372,13,Adventure
57,Exanima,79.92067603935372,13,Indie
58,Core Keeper,60.7937433820678,12,Role-playing (RPG)
58,Core Keeper,60.7937433820678,12,Adventure
58,Core Keeper,60.7937433820678,12,Indie
59,Eco,90.83148859315394,12,Simulator
59,Eco,90.83148859315394,12,Adventure
59,Eco,90.83148859315394,12,Indie
60,The Vagrant,85.76387143650447,12,Role-playing (RPG)
60,The Vagrant,85.76387143650447,12,Adventure
60,The Vagrant,85.76387143650447,12,Indie
61,Earthfall,62.00689680303385,12,Shooter
61,Earthfall,62.00689680303385,12,Adventure
62,SpaceEngine,89.92809987401883,12,Simulator
62,SpaceEngine,89.92809987401883,12,Indie
63,Gloam,92.5925925925926,11,Indie
63,Gloam,92.5925925925926,11,Arcade
64,BroodStar,89.16666666666666,11,Shooter
64,BroodStar,89.16666666666666,11,Adventure
64,BroodStar,89.16666666666666,11,Indie
64,BroodStar,89.16666666666666,11,Arcade
65,We Went Back,59.37043486935174,11,Puzzle
65,We Went Back,59.37043486935174,11,Adventure
65,We Went Back,59.37043486935174,11,Indie
66,AdVenture Communist,59.89794158321573,11,Simulator
66,AdVenture Communist,59.89794158321573,11,Strategy
66,AdVenture Communist,59.89794158321573,11,Indie
67,Another Brick in the Mall,66.85778470329305,11,Simulator
67,Another Brick in the Mall,66.85778470329305,11,Strategy
67,Another Brick in the Mall,66.85778470329305,11,Indie
68,Pavlov VR,80.6610844584933,11,Shooter
68,Pavlov VR,80.6610844584933,11,Indie
69,Vainglory,69.93801827775835,11,MOBA
70,Suck Up!,81.21951219512195,10,Role-playing (RPG)
70,Suck Up!,81.21951219512195,10,Indie
71,Death Must Die,79.99721216906516,10,Role-playing (RPG)
71,Death Must Die,79.99721216906516,10,Indie
72,Supremacy: The Metaverse Game,87.84260515603799,10,Fighting
72,Supremacy: The Metaverse Game,87.84260515603799,10,Real Time Strategy (RTS)
72,Supremacy: The Metaverse Game,87.84260515603799,10,Simulator
