,Title,Average Score,Score Count,Developers,Games Developed
99,ARK: Survival of the Fittest,14.66815512119835,8,Virtual Basement LLC,5
100,Echo of Soul,56.72286707808303,8,Nvius,1
101,Riot: Civil Unrest,50.91514610670846,8,Leonard Menchiari,3
101,Riot: Civil Unrest,50.91514610670846,8,IV Productions,4
102,Overpower,70.17241379310346,8,Hydrant Games,1
103,Labyrinth,81.04545454545453,8,Free Range Games,4
104,Dead Effect 2,54.32579989842559,8,"BadFly Interactive, a.s.",3
105,The Guild 3,59.3083623245374,8,Golem Labs,6
106,Interstellar Marines,39.70762760263374,8,Zero Point Software,1
107,The Coffin of Andy and Leyley,74.32765544938374,7,Nemlei,6
107,The Coffin of Andy and Leyley,74.32765544938374,7,Kit9 Studio,1
108,Soulstone Survivors,74.81166094561975,7,Game Smithing,2
109,Lightyear Frontier,34.60674157303371,7,Amplifier Game Invest,1
109,Lightyear Frontier,34.60674157303371,7,Frame Break,1
110,Age of Darkness: Final Stand,70.80317539589043,7,PlaySide,5
111,Mad Games Tycoon 2,71.13177779651197,7,Eggcode,3
112,Foundry,86.20689655172414,7,MEDER Dynamics,1
112,Foundry,86.20689655172414,7,Channel 3 Entertainment,1
113,Tiny Bunny,71.41721795289932,7,RUzura Interactive,2
113,Tiny Bunny,71.41721795289932,7,Saikono,1
114,Timberborn,71.91697415473745,7,Mechanistry,1
115,Atlas,58.89921777576238,7,Grapeshot Games,1
115,Atlas,58.89921777576238,7,Instinct Games,2
116,Torque Drift,90.0,7,Grease Monkey Games,1
117,Legion TD 2,51.16048146568269,7,AutoAttack Games,1
118,Infinite Minigolf,62.66666666666666,7,Zen Studios,76
119,Stationeers,95.20050654284509,7,RocketWerkz,17
120,Death Trash,68.52367872511509,7,Crafting Legends,1
121,Grav,56.24543788632251,7,"BitMonster, Inc.",1
122,Blockade 3D,59.81505490544451,7,Shumkov Dmitriy,1
123,Of Guards and Thieves,58.56139364990166,7,Subvert Games,1
124,Between Me and the Night,77.27534502733315,7,RainDance LX,1
125,Project: Playtime,53.33333333333333,6,Mob Entertainment,6
126,Yet Another Zombie Survivors,80.01239517362927,6,Awesome Games Studio,5
127,Shatterline,79.82540790582537,6,Frag Lab LLC,1
128,The Anacrusis,53.60345222633449,6,Stray Bombay,1
129,Farthest Frontier,79.98012175425518,6,Crate Entertainment,7
130,All Over,83.33333333333334,6,Overall adventures ltd,1
131,Orbital Bullet,70.42121316700332,6,SmokeStab,1
132,Firestone Idle RPG,47.06422018348624,6,HolyDay Studios,1
