,Title,Average Score,Score Count,Dates,Platforms,Regions
19,Dyson Sphere Program,80.76003534170542,28,TBD,PC (Microsoft Windows),Worldwide
20,Sons of the Forest,73.22119719999064,26,"Feb 23, 2023",PC (Microsoft Windows),Worldwide
20,Sons of the Forest,73.22119719999064,26,"Feb 22, 2024",PC (Microsoft Windows),Worldwide
21,Project: Gorgon,76.94138297165841,26,"Mar 13, 2018",PC (Microsoft Windows),Worldwide
21,Project: Gorgon,76.94138297165841,26,"Mar 13, 2018",Mac,Worldwide
21,Project: Gorgon,76.94138297165841,26,"Mar 13, 2018",Linux,Worldwide
22,Universe Sandbox,81.69742305725927,26,"Aug 24, 2015",Linux,Worldwide
22,Universe Sandbox,81.69742305725927,26,"Aug 24, 2015",Mac,Worldwide
22,Universe Sandbox,81.69742305725927,26,"Aug 24, 2015",PC (Microsoft Windows),Worldwide
23,Enshrouded,78.45473297130495,24,"Jan 24, 2024",PC (Microsoft Windows),Worldwide
24,NFUT Cards,94.78260869565217,23,"Jan 01, 2021",Web browser,Worldwide
25,Super Animal Royale,64.93824809812908,23,"Dec 12, 2018",PC (Microsoft Windows),Worldwide
25,Super Animal Royale,64.93824809812908,23,"Jun 01, 2021",Xbox One,North America
25,Super Animal Royale,64.93824809812908,23,"Jun 01, 2021",Xbox Series X|S,North America
25,Super Animal Royale,64.93824809812908,23,"Jun 01, 2021",PlayStation 4,North America
25,Super Animal Royale,64.93824809812908,23,"Aug 26, 2021",Nintendo Switch,Worldwide
25,Super Animal Royale,64.93824809812908,23,"Aug 26, 2021",PlayStation 5,Worldwide
25,Super Animal Royale,64.93824809812908,23,"Dec 14, 2021",Google Stadia,Worldwide
26,The Isle,85.33971479400523,22,"Dec 01, 2015",PC (Microsoft Windows),Worldwide
27,Scum,80.57581155171133,21,"Aug 29, 2018",PC (Microsoft Windows),Worldwide
28,Halls of Torment,92.86473056290106,20,"May 24, 2023",Linux,Worldwide
28,Halls of Torment,92.86473056290106,20,"May 24, 2023",PC (Microsoft Windows),Worldwide
29,Scrap Mechanic,61.0747967827588,20,"Jan 20, 2016",PC (Microsoft Windows),Worldwide
30,Godus,67.97408455851384,20,"Nov 27, 2014",Android,Worldwide
30,Godus,67.97408455851384,20,"Aug 06, 2014",iOS,Worldwide
30,Godus,67.97408455851384,20,"Aug 06, 2014",PC (Microsoft Windows),Worldwide
30,Godus,67.97408455851384,20,"Aug 06, 2014",Mac,Worldwide
31,Paint the Town Red,69.5224030992534,19,"Oct 13, 2015",PC (Microsoft Windows),Worldwide
31,Paint the Town Red,69.5224030992534,19,"Oct 13, 2015",Mac,Worldwide
31,Paint the Town Red,69.5224030992534,19,"Oct 13, 2015",Linux,Worldwide
31,Paint the Town Red,69.5224030992534,19,"Jul 29, 2021",Nintendo Switch,North America
31,Paint the Town Red,69.5224030992534,19,"Jul 29, 2021",PlayStation 4,Worldwide
31,Paint the Town Red,69.5224030992534,19,"Jul 29, 2021",PlayStation 5,Worldwide
31,Paint the Town Red,69.5224030992534,19,"Jul 29, 2021",Xbox One,Worldwide
31,Paint the Town Red,69.5224030992534,19,"Jul 29, 2021",Xbox Series X|S,Worldwide
31,Paint the Town Red,69.5224030992534,19,"Jul 29, 2021",Nintendo Switch,Europe
32,Men of War: Assault Squad 2,77.48181570503874,19,"Mar 20, 2014",PC (Microsoft Windows),Worldwide
32,Men of War: Assault Squad 2,77.48181570503874,19,"Mar 20, 2014",PC (Microsoft Windows),North America
33,Farlight 84,24.71957769042393,18,"Jun 16, 2021",Android,Asia
33,Farlight 84,24.71957769042393,18,"Jun 16, 2021",iOS,Asia
33,Farlight 84,24.71957769042393,18,"Apr 24, 2023",PC (Microsoft Windows),Worldwide
34,Dune: Spice Wars,71.25413235094109,16,"Apr 26, 2022",PC (Microsoft Windows),Worldwide
34,Dune: Spice Wars,71.25413235094109,16,"Sep 14, 2023",PC (Microsoft Windows),Worldwide
34,Dune: Spice Wars,71.25413235094109,16,"Nov 28, 2023",Xbox Series X|S,Worldwide
35,Friday Night Funkin',77.23533125043632,16,"Nov 01, 2020",Web browser,Worldwide
35,Friday Night Funkin',77.23533125043632,16,"Nov 01, 2020",PC (Microsoft Windows),Worldwide
35,Friday Night Funkin',77.23533125043632,16,"Nov 01, 2020",Mac,Worldwide
35,Friday Night Funkin',77.23533125043632,16,"Nov 01, 2020",Linux,Worldwide
36,Heartbound,87.79783393501805,16,"Dec 24, 2018",PC (Microsoft Windows),Worldwide
36,Heartbound,87.79783393501805,16,"Dec 24, 2018",Linux,Worldwide
37,Stonehearth,74.34340896936035,16,2017,PC (Microsoft Windows),Worldwide
37,Stonehearth,74.34340896936035,16,"Dec 30, 2013",PC (Microsoft Windows),North America
38,Ruthnar Online,90.36528669470889,15,"Mar 21, 2024",PC (Microsoft Windows),Worldwide
38,Ruthnar Online,90.36528669470889,15,"Mar 28, 2024",PC (Microsoft Windows),Worldwide
39,Crab Champions,62.22104126393624,15,"Apr 01, 2023",PC (Microsoft Windows),Worldwide
39,Crab Champions,62.22104126393624,15,TBD,PC (Microsoft Windows),Worldwide
40,Vintage Story,85.84657336754606,15,"Aug 16, 2018",PC (Microsoft Windows),Worldwide
40,Vintage Story,85.84657336754606,15,"Aug 16, 2018",Mac,Worldwide
40,Vintage Story,85.84657336754606,15,"Aug 16, 2018",Linux,Worldwide
41,Software Inc.,79.30190344351979,15,"May 01, 2015",Linux,Worldwide
41,Software Inc.,79.30190344351979,15,"May 01, 2015",Mac,Worldwide
41,Software Inc.,79.30190344351979,15,"May 01, 2015",PC (Microsoft Windows),Worldwide
