,Title,Average Score,Score Count
159,Space Haven,63.80323791759334,5
160,Headsnatchers,47.78376298576376,5
161,The Lord of the Rings: Adventure Card Game,68.92047568695789,5
162,Witchfire,49.69721893740783,5
163,Computer Tycoon,68.4416367775665,5
164,Desolate,76.41030041246324,5
165,Bio Inc. Redemption,70.0,5
166,AdventureQuest 3D,63.14621339834339,5
167,Paranormal Activity: The Lost Soul,69.02774897875744,5
168,Tower Unite,80.81601636208076,5
169,WWII Online,72.5,5
170,Chime Sharp,78.16666666666666,5
171,StarCrawlers,70.03088533873589,5
172,Bang-On Balls: Chronicles,80.0,4
173,The Long Drive,60.0,4
174,Black Skylands,80.0,4
175,Gamecraft,60.0,4
176,Shortest Trip to Earth,64.83333333333334,4
177,Mist Survival,80.0,4
178,Meow Motors,65.5,4
179,Mars Horizon,80.0,4
180,The Coin Game,70.0,4
181,Chinese Parents,80.0,4
182,Fault: Elder Orb,50.0,4
183,Yorkshire Gubbins,79.0,4
184,Rise to Ruins,80.0,4
185,Knockout League,76.0,4
186,Long Gone Days,72.0,4
187,Guild Quest,60.0,4
188,Derail Valley,80.0,4
189,Terroir,60.0,4
190,Pocket Rumble,62.5,4
191,Can't Drive This,50.0,4
192,Windscape,66.16666666666667,4
193,Volo Airsport,50.0,4
194,Salt,80.0,4
195,Automation: The Car Company Tycoon Game,80.0,4
196,The Way of Life,66.16795317036319,4
197,Medieval Engineers,60.0,4
198,Secrets of Grindea,80.0,4
199,Realms of Arkania: Star Trail,50.0,4
200,Stranded: Alien Dawn,83.66666666666667,3
201,Power Chord,60.0,3
202,Instruments of Destruction,87.0,3
203,Tinker Racers,70.0,3
204,The Political Process,80.0,3
205,10 Miles to Safety,80.0,3
206,Hot Shot Burn,70.0,3
207,Quantum League,71.0,3
208,A Year of Rain,50.0,3
209,Rogue Star Rescue,70.0,3
210,Blazing Sails,80.0,3
211,Mystic Vale,75.0,3
212,Nanotale: Typing Chronicles,65.0,3
213,Down to Hell,45.0,3
214,Tapsonic Bold,25.0,3
215,Beasts of Bermuda,50.0,3
216,Rising Hell,70.0,3
217,The Waylanders,60.0,3
218,Factory Town,70.0,3
219,Deadly Days,60.0,3
220,Clicker Heroes 2,60.0,3
221,Fugl,71.5,3
222,Intruder,80.0,3
223,Cogmind,80.0,3
224,Null Vector,78.5,3
225,Broke Protocol: Online City RPG,50.0,3
226,Guns'n'Stories: Bulletproof VR,71.5,3
227,CAT Interstellar,60.0,3
228,Head Shot,50.0,3
