,Title,Average Score,Score Count,Game Modes
295,Brick Rigs,60.0,2,Multiplayer
296,Low Magic Age,80.0,2,Single player
297,A-Tech Cybernetic,80.0,2,Single player
298,Production Line,60.0,2,Single player
299,Karnage Chronicles,80.0,2,Single player
299,Karnage Chronicles,80.0,2,Multiplayer
299,Karnage Chronicles,80.0,2,Co-operative
300,Post Human W.A.R,75.0,2,Single player
300,Post Human W.A.R,75.0,2,Multiplayer
301,Sailaway,80.0,2,Single player
301,Sailaway,80.0,2,Multiplayer
301,Sailaway,80.0,2,Massively Multiplayer Online (MMO)
302,NITE Team 4,70.0,2,Single player
302,NITE Team 4,70.0,2,Multiplayer
302,NITE Team 4,70.0,2,Co-operative
302,NITE Team 4,70.0,2,Massively Multiplayer Online (MMO)
303,We Need to Go Deeper,80.0,2,Single player
303,We Need to Go Deeper,80.0,2,Multiplayer
303,We Need to Go Deeper,80.0,2,Co-operative
304,BattleCrew: Space Pirates,35.0,2,Multiplayer
304,BattleCrew: Space Pirates,35.0,2,Co-operative
305,Spellsworn,80.0,2,Multiplayer
306,Yore VR,50.0,2,Single player
307,Stellar Overload,60.0,2,Single player
307,Stellar Overload,60.0,2,Multiplayer
307,Stellar Overload,60.0,2,Co-operative
308,Timber and Stone,50.0,2,Single player
309,Drift Into Eternity,72.5,2,Single player
310,Exoplanet: First Contact,80.0,2,Single player
311,Feed and Grow: Fish,60.0,2,Single player
311,Feed and Grow: Fish,60.0,2,Multiplayer
311,Feed and Grow: Fish,60.0,2,Co-operative
312,DropZone,75.0,2,Single player
312,DropZone,75.0,2,Multiplayer
312,DropZone,75.0,2,Co-operative
313,De Mambo,74.0,2,Single player
313,De Mambo,74.0,2,Multiplayer
313,De Mambo,74.0,2,Co-operative
314,Super Indie Karts,80.0,2,Single player
314,Super Indie Karts,80.0,2,Multiplayer
315,All Guns on Deck,40.0,2,Single player
316,Wild Warfare,70.0,2,Multiplayer
317,Elea,70.0,2,Single player
318,Kingdoms Rise,50.0,2,Multiplayer
318,Kingdoms Rise,50.0,2,Co-operative
319,Bombernauts,80.0,2,Multiplayer
320,Folk Tale,50.0,2,Single player
321,Gabe Newell Simulator,50.0,2,Single player
322,Subaeria,57.5,2,Single player
323,Dispatcher,40.0,2,Single player
323,Dispatcher,40.0,2,Multiplayer
324,Rodina,80.0,2,Single player
325,Starmade,60.0,2,Single player
325,Starmade,60.0,2,Multiplayer
325,Starmade,60.0,2,Co-operative
326,Block Story,50.0,2,Single player
327,Prismata,70.0,2,Single player
327,Prismata,70.0,2,Multiplayer
328,Soulslinger: Envoy of Death,92.0,1,Single player
329,New Star GP,80.0,1,Single player
329,New Star GP,80.0,1,Multiplayer
330,Forgive Me Father 2,70.0,1,Single player
331,Go-Go Town!,85.0,1,Single player
331,Go-Go Town!,85.0,1,Multiplayer
331,Go-Go Town!,85.0,1,Co-operative
332,Trinity Fusion,85.0,1,Single player
333,Voltaire: The Vegan Vampire,60.0,1,Single player
333,Voltaire: The Vegan Vampire,60.0,1,Multiplayer
333,Voltaire: The Vegan Vampire,60.0,1,Co-operative
334,Arto,35.0,1,Single player
335,MythForce,65.0,1,Single player
335,MythForce,65.0,1,Multiplayer
335,MythForce,65.0,1,Co-operative
336,Spiritfall,66.0,1,Single player
337,Sker Ritual,60.0,1,Single player
337,Sker Ritual,60.0,1,Multiplayer
337,Sker Ritual,60.0,1,Co-operative
338,Lovecraft's Untold Stories 2,40.0,1,Single player
338,Lovecraft's Untold Stories 2,40.0,1,Multiplayer
338,Lovecraft's Untold Stories 2,40.0,1,Co-operative
339,Thy Creature,90.0,1,Single player
340,Oaken,65.0,1,Single player
341,Dread Delusion,73.0,1,Single player
342,Mortal Sin,81.0,1,Single player
343,Ember Knights,85.0,1,Single player
343,Ember Knights,85.0,1,Multiplayer
343,Ember Knights,85.0,1,Co-operative
344,Puzzle Quest 3,60.0,1,Single player
344,Puzzle Quest 3,60.0,1,Multiplayer
345,Patch Quest,85.0,1,Single player
345,Patch Quest,85.0,1,Co-operative
346,Graven,75.0,1,Single player
346,Graven,75.0,1,Multiplayer
346,Graven,75.0,1,Co-operative
347,Total Arcade Racing,80.0,1,Single player
347,Total Arcade Racing,80.0,1,Multiplayer
347,Total Arcade Racing,80.0,1,Co-operative
348,Titan Chaser,80.0,1,Single player
349,Victory Road,80.0,1,Single player
350,Mists of Noyah,60.0,1,Single player
350,Mists of Noyah,60.0,1,Multiplayer
350,Mists of Noyah,60.0,1,Co-operative
351,Weed Farmer Simulator,50.0,1,Single player
352,Shaolin vs Wutang 2,70.0,1,Single player
352,Shaolin vs Wutang 2,70.0,1,Multiplayer
353,Barricadez,80.0,1,Single player
354,Ultimate Zombie Defense,70.0,1,Single player
354,Ultimate Zombie Defense,70.0,1,Multiplayer
354,Ultimate Zombie Defense,70.0,1,Co-operative
355,Tainted Grail: The Fall of Avalon,0.0,1,Single player
356,Spellsword Cards: DungeonTop,68.0,1,Single player
357,Mad Experiments: Escape Room,70.0,1,Single player
357,Mad Experiments: Escape Room,70.0,1,Multiplayer
357,Mad Experiments: Escape Room,70.0,1,Co-operative
358,MMORPG Tycoon 2,70.0,1,Single player
359,Tip of the Spear: Task Force Elite,80.0,1,Single player
359,Tip of the Spear: Task Force Elite,80.0,1,Multiplayer
360,The Yellow King,70.0,1,Single player
360,The Yellow King,70.0,1,Multiplayer
360,The Yellow King,70.0,1,Co-operative
360,The Yellow King,70.0,1,Massively Multiplayer Online (MMO)
361,Errant Kingdom,70.0,1,Single player
362,Day of Dragons,50.0,1,Single player
362,Day of Dragons,50.0,1,Multiplayer
363,Book of Travels,66.0,1,Multiplayer
363,Book of Travels,66.0,1,Co-operative
363,Book of Travels,66.0,1,Massively Multiplayer Online (MMO)
364,Necronator: Dead Wrong,65.0,1,Single player
365,Drift of the Hill,80.0,1,Single player
366,Neon Noodles: Cyberpunk Kitchen Automation,70.0,1,Single player
367,Beat Blast,88.0,1,Single player
368,Bastide,50.0,1,Single player
369,MicroTown,70.0,1,Single player
370,Devil's Deck,60.0,1,Single player
371,Neon Tail,70.0,1,Single player
372,Onset,70.0,1,Multiplayer
372,Onset,70.0,1,Massively Multiplayer Online (MMO)
373,Shadows of Doubt,80.0,1,Single player
373,Shadows of Doubt,80.0,1,Multiplayer
374,Sky Link,70.0,1,Multiplayer
374,Sky Link,70.0,1,Massively Multiplayer Online (MMO)
375,Ritual: Crown of Horns,75.0,1,Single player
376,Naxia,50.0,1,Single player
377,Ninja Legends,70.0,1,Single player
378,Axis & Allies 1942 Online,50.0,1,Single player
378,Axis & Allies 1942 Online,50.0,1,Multiplayer
378,Axis & Allies 1942 Online,50.0,1,Co-operative
379,Siege of Centauri,65.0,1,Single player
380,Gravity Ace,70.0,1,Single player
381,Burned Land,70.0,1,Single player
382,Road to Guangdong,50.0,1,Single player
383,Winkeltje: The Little Shop,70.0,1,Single player
384,Cat and Ghostly Road,70.0,1,Single player
385,2084,50.0,1,Single player
385,2084,50.0,1,Multiplayer
386,Hotel Sowls,65.0,1,Single player
387,Metaverse Keeper,70.0,1,Single player
387,Metaverse Keeper,70.0,1,Multiplayer
387,Metaverse Keeper,70.0,1,Co-operative
388,Murder Mystery Machine,73.0,1,Single player
389,Fantasy Blacksmith,50.0,1,Single player
390,Deadliest Catch: The Game,45.0,1,Single player
391,Blink: Rogues,65.0,1,Single player
391,Blink: Rogues,65.0,1,Multiplayer
391,Blink: Rogues,65.0,1,Split screen
392,Pandemic Express: Zombie Escape,60.0,1,Multiplayer
392,Pandemic Express: Zombie Escape,60.0,1,Massively Multiplayer Online (MMO)
393,Time Warpers,70.0,1,Single player
393,Time Warpers,70.0,1,Multiplayer
393,Time Warpers,70.0,1,Co-operative
394,Deadside,60.0,1,Multiplayer
394,Deadside,60.0,1,Co-operative
394,Deadside,60.0,1,Massively Multiplayer Online (MMO)
395,Lawless Lands,70.0,1,Single player
396,Starcom: Nexus,70.0,1,Single player
397,Good Company,60.0,1,Single player
397,Good Company,60.0,1,Multiplayer
397,Good Company,60.0,1,Co-operative
398,Black Paradox,35.0,1,Single player
398,Black Paradox,35.0,1,Multiplayer
398,Black Paradox,35.0,1,Co-operative
399,Seeds of Resilience,60.0,1,Single player
400,Rapture Rejects,50.0,1,Battle Royale
401,Melting World Online,50.0,1,Multiplayer
401,Melting World Online,50.0,1,Co-operative
401,Melting World Online,50.0,1,Massively Multiplayer Online (MMO)
402,A Long Way Down,50.0,1,Single player
403,Adeptus Titanicus: Dominus,80.0,1,Single player
403,Adeptus Titanicus: Dominus,80.0,1,Multiplayer
404,The Hardest Dungeon,70.0,1,Single player
405,Find Your Way,50.0,1,Single player
406,Newt One,70.0,1,Single player
407,The True Slime King,90.0,1,Single player
408,ValeGuard,64.0,1,Single player
409,Vox Machinae,80.0,1,Single player
409,Vox Machinae,80.0,1,Multiplayer
409,Vox Machinae,80.0,1,Co-operative
410,Final Assault,70.0,1,Single player
410,Final Assault,70.0,1,Multiplayer
411,BoxVR,80.0,1,Single player
412,Sipho,70.0,1,Single player
413,The Snowboard Game,60.0,1,Single player
413,The Snowboard Game,60.0,1,Multiplayer
414,Swords 'n Magic and Stuff,80.0,1,Single player
414,Swords 'n Magic and Stuff,80.0,1,Multiplayer
414,Swords 'n Magic and Stuff,80.0,1,Co-operative
