,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
880130,880130,Lawless Lands,Corrosive Studios LLC,Corrosive Studios LLC,,84,12,0,"0 .. 20,000",0,0,0,0,1099,1099,0,2
1094250,1094250,It Stares Back,Light Arc Studio Ltd,Light Arc Studio Ltd,,87,4,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1159680,1159680,Silent Sector,Rake in Grass,Rake in Grass,,112,19,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
1355780,1355780,Crushed,NipoBox,NipoBox Publishing,,113,94,0,"0 .. 20,000",0,0,0,0,999,999,0,2
1198860,1198860,Snowballs,Funny Games,Funny Games,,120,20,0,"0 .. 20,000",0,0,0,0,69,99,30,0
1265220,1265220,Cauldrons of War - Barbarossa,Maestro Cinetik,Gaming at Work,,137,14,0,"0 .. 20,000",0,0,0,0,1499,1499,0,4
858630,858630,Aquaculture Land: Fish Farming Simulation,Maulidan Games,"Maulidan Games, Maple Whispering Limited",,143,40,0,"0 .. 20,000",0,0,0,0,999,999,0,1
1066630,1066630,Master Magistrate,IRODORI,Shiravune,,146,17,0,"0 .. 20,000",0,0,0,0,2999,2999,0,3
819630,819630,Basketball Classics,Namo Gamo,Namo Gamo,,149,12,0,"0 .. 20,000",0,0,0,0,999,999,0,0
780270,780270,Brimstone Brawlers - Early Access,Ategig,Ategig,,159,16,0,"0 .. 20,000",0,0,0,0,0,0,0,0
484350,484350,VRZ: Torment,StormBringer Studios OU,StormBringer Studios OU,,165,71,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1142220,1142220,Beat Aim - Rhythm FPS Trainer,Kamyker,Kamyker,,165,18,0,"0 .. 20,000",0,0,0,0,1499,1499,0,1
660920,660920,The Warhorn,Pigeons Interactive,Pigeons Interactive,,186,138,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1187330,1187330,Tower Tag,VR Nerds,VR Nerds,,266,30,0,"0 .. 20,000",0,0,0,0,999,999,0,3
493080,493080,Card Quest,WinterSpring Games,WinterSpring Games,,284,46,0,"0 .. 20,000",0,0,0,0,999,999,0,4
351100,351100,Niffelheim,Ellada Games,Ellada Games,,1609,630,0,"0 .. 20,000",0,0,0,0,1999,1999,0,9
2194730,2194730,ServiceIT: You can do IT,picture4u,"FreeMind S.A., PlayWay S.A.",,0,0,0,"0 .. 20,000",0,0,0,0,1299,1299,0,3
2945110,2945110,Skill Random Defense,UIsoft,UIsoft,,2,1,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1565860,1565860,Rotate To Find The Difference,Meng Games,Meng Games,,3,3,0,"0 .. 20,000",0,0,0,0,49,99,51,0
2490900,2490900,Blocks and Bones,HawkSandwich,HawkSandwich,,3,2,0,"0 .. 20,000",0,0,0,0,999,999,0,0
2718460,2718460,Mortui: Outbreak Secrets,Blackrend Entertainment,Blackrend Entertainment,,6,2,0,"0 .. 20,000",0,0,0,0,199,199,0,0
2863790,2863790,FolkOrigin,LDSG88 Lukasz Dolata,LDSG88 Lukasz Dolata,,8,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
2005240,2005240,Space Shells,Mobirate,Mobirate,,9,3,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
2002540,2002540,Otaku Engine,Jesus E Ruiz,Jesus E Ruiz,,12,0,0,"0 .. 20,000",0,0,0,0,599,599,0,0
2765760,2765760,Horror Nightmare Collection,NanningsGames,NanningsGames,,12,0,0,"0 .. 20,000",0,0,0,0,199,199,0,0
2757500,2757500,Checkout!,Bucket Forge,Bucket Forge,,12,2,0,"0 .. 20,000",0,0,0,0,299,399,25,2
1867480,1867480,The Hike,Simionescu Mihnea,Simionescu Mihnea,,13,9,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1576970,1576970,The Lost King of Avallon,Freeline Games GmbH,Freeline Games GmbH,,14,11,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
1830280,1830280,Super Company,Dawn Studio,Dawn Studio,,14,2,0,"0 .. 20,000",0,0,0,0,599,999,40,0
1547090,1547090,Fantasma,Studwell,Studwell,,16,11,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1731410,1731410,Monastery,Lycan Studio,Lycan Studio,,25,1,0,"0 .. 20,000",0,0,0,0,1599,1599,0,1
1264730,1264730,Total Arcade Racing,Pretty Fly Games,Pretty Fly Games,,27,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
2211410,2211410,RivenWorld: The First Era,GameFocal,GameFocal,,29,11,0,"0 .. 20,000",0,0,0,0,149,999,85,0
1927250,1927250,Happy Mining,Two Mind Games,Two Mind Games,,31,10,0,"0 .. 20,000",0,0,0,0,599,599,0,0
1267210,1267210,Together in Battle,Sinister Design,Sinister Design,,33,2,0,"0 .. 20,000",0,0,0,0,1499,1499,0,4
1952740,1952740,Infinite Turtles,Charlie Brej,Charlie Brej,,41,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1207320,1207320,Gray Zone,EastWorks,EastWorks,,44,19,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
1573590,1573590,Colonize,Rembrosoft,CreativeForge Games,,48,57,0,"0 .. 20,000",0,0,0,0,1599,1599,0,6
1730140,1730140,LIGHT: Black Cat & Amnesia Girl,Daylight Studio,Daylight Studio,,55,7,0,"0 .. 20,000",0,0,0,0,1099,1099,0,0
2347550,2347550,Cowboy 3030,Soy Boy Games,Soy Boy Games,,59,1,0,"0 .. 20,000",0,0,0,0,1499,1499,0,11
1479880,1479880,Role of Hex,Verde,Verde,,60,17,0,"0 .. 20,000",0,0,0,0,999,999,0,2
2159670,2159670,maboroshi caravan,Dear Done Dead,Dear Done Dead,,61,6,0,"0 .. 20,000",0,0,0,0,399,399,0,15
1649920,1649920,Coronation,Twin Sword Studio,Twin Sword Studio,,66,29,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1947060,1947060,On the Dragon Wings - Birth of a Hero,Queen Developer,Queen Developer,,72,10,0,"0 .. 20,000",0,0,0,0,899,899,0,0
1941980,1941980,Big Fat Battle,Robot Squid,Robot Squid,,77,51,0,"0 .. 20,000",0,0,0,0,0,0,0,1
830540,830540,Motocross: Chasing the Dream,LCQ Studios,LCQ Studios,,82,18,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1304470,1304470,降妖神兵,易远游戏,易远游戏,,82,24,0,"0 .. 20,000",0,0,0,0,179,299,40,0
1070840,1070840,Quest Together,Studio Stefferp,Studio Stefferp,,83,17,0,"0 .. 20,000",0,0,0,0,1499,1499,0,1
