,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
578080,578080,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.",,1385753,983594,0,"50,000,000 .. 100,000,000",0,0,0,0,0,0,0,473904
1623730,1623730,Palworld,Pocketpair,Pocketpair,,282031,18605,0,"50,000,000 .. 100,000,000",0,0,0,0,2999,2999,0,28854
252490,252490,Rust,Facepunch Studios,Facepunch Studios,,928255,137703,0,"20,000,000 .. 50,000,000",0,0,0,0,3999,3999,0,158124
304930,304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,,494369,45902,0,"20,000,000 .. 50,000,000",0,0,0,0,0,0,0,41180
553850,553850,HELLDIVERS 2,Arrowhead Game Studios,PlayStation Publishing LLC,,635670,236771,0,"20,000,000 .. 50,000,000",0,0,0,0,3999,3999,0,53078
291550,291550,Brawlhalla,Blue Mammoth Games,Ubisoft,,300509,64301,0,"20,000,000 .. 50,000,000",0,0,0,0,0,0,0,16213
1086940,1086940,Baldur's Gate 3,Larian Studios,Larian Studios,,596893,19801,0,"20,000,000 .. 50,000,000",0,0,0,0,5999,5999,0,91265
431960,431960,Wallpaper Engine,Wallpaper Engine Team,Wallpaper Engine Team,,768630,15280,0,"20,000,000 .. 50,000,000",0,0,0,0,399,399,0,118915
346110,346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA",,575827,115446,0,"20,000,000 .. 50,000,000",0,0,0,0,1499,1499,0,37943
892970,892970,Valheim,Iron Gate AB,Coffee Stain Publishing,,430763,24605,0,"20,000,000 .. 50,000,000",0,0,0,0,1999,1999,0,54855
1091500,1091500,Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,,612963,132701,0,"20,000,000 .. 50,000,000",0,0,0,0,5999,5999,0,35332
242760,242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,,519189,24467,0,"20,000,000 .. 50,000,000",0,0,0,0,1999,1999,0,12218
322330,322330,Don't Starve Together,Klei Entertainment,Klei Entertainment,,435322,19538,0,"20,000,000 .. 50,000,000",0,0,0,0,1499,1499,0,39585
899770,899770,Last Epoch,Eleventh Hour Games,Eleventh Hour Games,,72683,21403,0,"20,000,000 .. 50,000,000",0,0,0,0,3499,3499,0,3819
438100,438100,VRChat,VRChat Inc.,VRChat Inc.,,163238,54822,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,44415
444090,444090,Paladins,Evil Mojo Games,Hi-Rez Studios,,292954,51522,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,4621
552990,552990,World of Warships,Wargaming Group Limited,Wargaming Group Limited,,108138,31449,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,11216
227940,227940,Heroes & Generals,TLM Partners,TLM Partners,,96681,46842,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,4
739630,739630,Phasmophobia,Kinetic Games,Kinetic Games,,652393,27313,0,"10,000,000 .. 20,000,000",0,0,0,0,1399,1399,0,16887
1966720,1966720,Lethal Company,Zeekerss,Zeekerss,,390373,10206,0,"10,000,000 .. 20,000,000",0,0,0,0,999,999,0,16645
1468810,1468810,鬼谷八荒 Tale of Immortal,鬼谷工作室,"鬼谷工作室, Lightning Games",,116724,105810,0,"10,000,000 .. 20,000,000",0,0,0,0,1999,1999,0,5284
755790,755790,Ring of Elysium,Aurora Studio,TCH Scarlet Limited,,74768,25786,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,50
648800,648800,Raft,Redbeet Interactive,Axolot Games,,293395,20388,0,"10,000,000 .. 20,000,000",0,0,0,0,1999,1999,0,13238
108600,108600,Project Zomboid,The Indie Stone,The Indie Stone,,280699,17496,0,"10,000,000 .. 20,000,000",0,0,0,0,1999,1999,0,40205
550650,550650,Black Squad,"VALOFE, NS STUDIO",VALOFE,,62010,19449,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,540
251570,251570,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,,279840,36203,0,"10,000,000 .. 20,000,000",0,0,0,0,2499,2499,0,41250
433850,433850,Z1 Battle Royale,Daybreak Game Company,Daybreak Game Company,,114264,91125,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,825
417910,417910,Street Warriors Online,Crazy Rocks Studios,Crazy Rocks Studios,,956,690,0,"10,000,000 .. 20,000,000",0,0,0,0,199,199,0,0
261550,261550,Mount & Blade II: Bannerlord,TaleWorlds Entertainment,TaleWorlds Entertainment,,214472,29355,0,"10,000,000 .. 20,000,000",0,0,0,0,4999,4999,0,23800
221100,221100,DayZ,Bohemia Interactive,Bohemia Interactive,,295958,95373,0,"5,000,000 .. 10,000,000",0,0,0,0,4999,4999,0,58517
1089350,1089350,NBA 2K20,Visual Concepts,2K,,30396,30465,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,520
1046930,1046930,Dota Underlords,Valve,Valve,,74584,16111,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,1686
301520,301520,Robocraft,Freejam,Freejam,,86542,32079,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,185
1326470,1326470,Sons Of The Forest,Endnight Games Ltd,Newnight ,,168394,26967,0,"5,000,000 .. 10,000,000",0,0,0,0,2999,2999,0,15695
489520,489520,Minion Masters,BetaDwarf,BetaDwarf,,56813,6533,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,621
632360,632360,Risk of Rain 2,Hopoo Games,Gearbox Publishing,,264065,10172,0,"5,000,000 .. 10,000,000",0,0,0,0,2499,2499,0,10482
466240,466240,Deceit,World Makers,World Makers,,73520,19143,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,732
427520,427520,Factorio,Wube Software LTD.,Wube Software LTD.,,178763,6084,0,"5,000,000 .. 10,000,000",0,0,0,0,3500,3500,0,17345
219990,219990,Grim Dawn,Crate Entertainment,Crate Entertainment,,86773,5769,0,"5,000,000 .. 10,000,000",0,0,0,0,2499,2499,0,3008
387990,387990,Scrap Mechanic,Axolot Games,Axolot Games,,99100,8014,0,"5,000,000 .. 10,000,000",0,0,0,0,1999,1999,0,2481
264710,264710,Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,,262878,8584,0,"5,000,000 .. 10,000,000",0,0,0,0,2999,2999,0,5190
844870,844870,KurtzPel,KOG,KOG,,21264,13443,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,81
284160,284160,BeamNG.drive,BeamNG,BeamNG,,244724,6827,0,"5,000,000 .. 10,000,000",0,0,0,0,2499,2499,0,20071
1145360,1145360,Hades,Supergiant Games,Supergiant Games,,256400,4273,0,"5,000,000 .. 10,000,000",0,0,0,0,2499,2499,0,12779
1794680,1794680,Vampire Survivors,poncle,poncle,,227470,3371,0,"5,000,000 .. 10,000,000",0,0,0,0,499,499,0,5499
813820,813820,Realm Royale,Heroic Leap Games,Hi-Rez Studios,,42922,13574,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,332
244210,244210,Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,,116059,9189,0,"5,000,000 .. 10,000,000",0,0,0,0,1999,1999,0,15213
526870,526870,Satisfactory,Coffee Stain Studios,Coffee Stain Publishing,,156014,4872,0,"5,000,000 .. 10,000,000",0,0,0,0,2999,2999,0,12106
646570,646570,Slay the Spire,Mega Crit,Mega Crit,,153835,3382,0,"5,000,000 .. 10,000,000",0,0,0,0,2499,2499,0,17543
233450,233450,Prison Architect,"Double Eleven, Introversion Software",Paradox Interactive,,62083,7235,0,"5,000,000 .. 10,000,000",0,0,0,0,2999,2999,0,1726
588650,588650,Dead Cells,Motion Twin,Motion Twin,,148015,4287,0,"5,000,000 .. 10,000,000",0,0,0,0,2499,2499,0,3285
211500,211500,RaceRoom Racing Experience,KW Studios,"KW Studios, RaceRoom Entertainment AG",,15728,5396,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,807
435150,435150,Divinity: Original Sin 2 - Definitive Edition,Larian Studios,Larian Studios,,172151,7259,0,"5,000,000 .. 10,000,000",0,0,0,0,4499,4499,0,6382
1049590,1049590,Eternal Return: Black Survival,Nimble Neuron,"Kakao Games Europe B.V. (EU,NA,OCE), Nimble Neuron (Excluding EU,NA,OCE), SapStaR Games",,44674,11973,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,15418
513710,513710,SCUM,Gamepires,Jagex Ltd,,76635,26579,0,"5,000,000 .. 10,000,000",0,0,0,0,3999,3999,0,23558
294100,294100,RimWorld,Ludeon Studios,Ludeon Studios,,184000,3693,0,"5,000,000 .. 10,000,000",0,0,0,0,3499,3499,0,31352
440900,440900,Conan Exiles,Funcom,Funcom,,78983,21652,0,"5,000,000 .. 10,000,000",0,0,0,0,3999,3999,0,8091
1229490,1229490,ULTRAKILL,"Arsi ""Hakita"" Patala",New Blood Interactive,,112963,2403,0,"2,000,000 .. 5,000,000",0,0,0,0,2499,2499,0,2401
766570,766570,Russian Fishing 4,FishSoft LLC,FishSoft LLC,,30809,32799,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,17767
1151340,1151340,Fallout 76,Bethesda Game Studios,Bethesda Softworks,,79891,29855,0,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,21731
211820,211820,Starbound,Chucklefish,Chucklefish,,151016,12264,0,"2,000,000 .. 5,000,000",0,0,0,0,1499,1499,0,1693
548430,548430,Deep Rock Galactic,Ghost Ship Games,Coffee Stain Publishing,,282469,8279,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,14915
380600,380600,Fishing Planet,Fishing Planet LLC,Fishing Planet LLC,,47524,7394,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,9862
466560,466560,Northgard,Shiro Games,Shiro Games,,51390,7389,0,"2,000,000 .. 5,000,000",0,0,0,0,899,2999,70,4150
262060,262060,Darkest Dungeon,Red Hook Studios,Red Hook Studios,,125334,11473,0,"2,000,000 .. 5,000,000",0,0,0,0,2499,2499,0,4715
594650,594650,Hunt: Showdown,Crytek,Crytek,,164140,36797,0,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,21973
355840,355840,Survarium,Vostok Games,Vostok Games,,13909,11770,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,1
1604030,1604030,V Rising,Stunlock Studios,Stunlock Studios,,83741,10932,0,"2,000,000 .. 5,000,000",0,0,0,0,3499,3499,0,32967
504370,504370,Battlerite,Stunlock Studios,Stunlock Studios,,50088,9210,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,155
286160,286160,Tabletop Simulator,Berserk Games,Berserk Games,,61667,3779,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,6695
508440,508440,Totally Accurate Battle Simulator,Landfall,Landfall,,120837,2648,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,2240
744900,744900,Dead Frontier 2,Creaky Corpse Ltd,Creaky Corpse Ltd,,17468,7126,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,1208
386180,386180,Crossout,Targem Games,Gaijin Network Ltd,,45375,14677,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,5487
244850,244850,Space Engineers,Keen Software House,Keen Software House,,112368,14696,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,7458
1366540,1366540,Dyson Sphere Program,Youthcat Studio,Gamera Games,,77360,1831,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,5680
1145350,1145350,Hades II,Supergiant Games,Supergiant Games,,38432,2262,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,18808
671860,671860,BattleBit Remastered,"SgtOkiDoki, Vilaskis, TheLiquidHorse",SgtOkiDoki,,116961,15140,0,"2,000,000 .. 5,000,000",0,0,0,0,1499,1499,0,3265
1868140,1868140,DAVE THE DIVER,MINTROCKET,MINTROCKET,,97500,2639,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,12712
2195250,2195250,EA SPORTS FC 24,EA Canada & EA Romania,Electronic Arts,,44025,35009,0,"2,000,000 .. 5,000,000",0,0,0,0,6999,6999,0,66548
962130,962130,Grounded,Obsidian Entertainment,Xbox Game Studios,,65723,8162,0,"2,000,000 .. 5,000,000",0,0,0,0,2799,3999,30,5777
1144200,1144200,Ready or Not,VOID Interactive,VOID Interactive,,155513,20400,0,"2,000,000 .. 5,000,000",0,0,0,0,4999,4999,0,8122
884660,884660,CRSED: F.O.A.D.,Darkflow Software,Gaijin Network Ltd,,30243,8061,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,281
302830,302830,BLOCKADE 3D,Novalink,Novalink,,15172,10766,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,0
1832640,1832640,Mirror 2: Project X,KAGAMI Ⅱ WORKs,NIJICO,,29369,88367,0,"2,000,000 .. 5,000,000",0,0,0,0,199,199,0,19
506540,506540,Last Man Standing,"Free Reign Entertainment, Free Reign Entertainment",Free Reign Entertainment,,10932,6909,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,0
1180380,1180380,Stay Out,MOBITECH LLC,MOBITECH LLC,,12403,8243,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,1712
457140,457140,Oxygen Not Included,Klei Entertainment,Klei Entertainment,,111519,3763,0,"2,000,000 .. 5,000,000",0,0,0,0,2499,2499,0,11050
274190,274190,Broforce,Free Lives,Devolver Digital,,54798,1691,0,"2,000,000 .. 5,000,000",0,0,0,0,1499,1499,0,449
918570,918570,Century: Age of Ashes,Playwing LTD,Playwing LTD,,12666,4289,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,141
376210,376210,The Isle,Afterthought LLC,Afterthought LLC,,64749,14710,0,"2,000,000 .. 5,000,000",0,0,0,0,1339,1999,33,7236
361420,361420,ASTRONEER,System Era Softworks,System Era Softworks,,108455,9414,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,2612
232090,232090,Killing Floor 2,Tripwire Interactive,Tripwire Interactive,,106383,15036,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,6304
355180,355180,Codename CURE,Hoobalugalar_X,Raptor Byte,,13867,2527,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,15
407530,407530,ARK: Survival Of The Fittest,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,,7658,3891,0,"2,000,000 .. 5,000,000",0,0,0,0,1499,1499,0,17
620980,620980,Beat Saber,Beat Games,Beat Games,,69273,3141,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,859
362890,362890,Black Mesa,Crowbar Collective,Crowbar Collective,,108348,5356,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,820
516750,516750,My Summer Car,Amistech Games,Amistech Games,,67592,3985,0,"2,000,000 .. 5,000,000",0,0,0,0,1499,1499,0,2615
391720,391720,Layers of Fear (2016),Bloober Team SA,Bloober Team SA,,22760,2822,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,40
285900,285900,Gang Beasts,"Boneloaf, Rocket Science",Boneloaf,,47491,8830,0,"2,000,000 .. 5,000,000",0,0,0,0,799,1999,60,630
838350,838350,太吾绘卷 The Scroll Of Taiwu,ConchShip Games,ConchShip Games,,40934,18095,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,999
471710,471710,Rec Room,Rec Room,Rec Room,,57519,5937,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,2100
1943950,1943950,Escape the Backrooms,Fancy Games,Fancy Games,,65867,6719,0,"2,000,000 .. 5,000,000",0,0,0,0,999,999,0,5108
1372880,1372880,The Day Before,FNTASTIC,Mytona Fntastic,,3735,19924,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,0
1371980,1371980,No Rest for the Wicked,Moon Studios GmbH,Private Division,,22578,6034,0,"2,000,000 .. 5,000,000",0,0,0,0,3199,3999,20,1634
992300,992300,嗜血印 Bloody Spell,艺龙游戏,艺龙游戏,,28955,3506,0,"2,000,000 .. 5,000,000",0,0,0,0,2499,2499,0,112
246620,246620,Plague Inc: Evolved,Ndemic Creations,Ndemic Creations,,48563,2830,0,"2,000,000 .. 5,000,000",0,0,0,0,449,1499,70,1051
289650,289650,Assassin's Creed Unity,Ubisoft,Ubisoft,,51033,14475,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,1249
686810,686810,Hell Let Loose,Team17,Team17,,100407,21131,0,"2,000,000 .. 5,000,000",0,0,0,0,4999,4999,0,7424
233860,233860,Kenshi,Lo-Fi Games,Lo-Fi Games,,80095,3961,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,6115
207140,207140,SpeedRunners,DoubleDutch Games,tinyBuild,,33795,2190,0,"2,000,000 .. 5,000,000",0,0,0,0,1499,1499,0,181
427730,427730,Who's Your Daddy?!,Evil Tortilla Games,Evil Tortilla Games,,22869,5789,0,"2,000,000 .. 5,000,000",0,0,0,0,699,699,0,164
644560,644560,Mirror,KAGAMI WORKS,Paradise Project,,80419,2554,0,"2,000,000 .. 5,000,000",0,0,0,0,199,199,0,224
295110,295110,Just Survive,Daybreak Game Company,Daybreak Game Company,,46058,31902,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,0
424370,424370,Wolcen: Lords of Mayhem,WOLCEN Studio,WOLCEN Studio,,37778,29455,0,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,119
305620,305620,The Long Dark,Hinterland Studio Inc.,Hinterland Studio Inc.,,94547,9332,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,2524
1203620,1203620,Enshrouded,Keen Games GmbH,Keen Games GmbH,,43177,6855,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,15916
1363080,1363080,Manor Lords,Slavic Magic,Hooded Horse,,41163,5635,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,3999,25,11974
431240,431240,Golf With Your Friends,"Blacklight Interactive, Team17",Team17,,55653,7282,0,"2,000,000 .. 5,000,000",0,0,0,0,1499,1499,0,1265
310950,310950,Street Fighter V,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,28918,14152,0,"2,000,000 .. 5,000,000",0,0,0,0,999,1999,50,404
1217060,1217060,Gunfire Reborn,Duoyi Games,Duoyi Games,,88210,6032,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,2757
310560,310560,DiRT Rally,"Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts",,34645,4750,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,149
881100,881100,Noita,Nolla Games,Nolla Games,,62861,3100,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,3518
629730,629730,Blade and Sorcery,WarpFrog,WarpFrog,,46113,1557,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,715
236110,236110,Dungeon Defenders II,Chromatic Games,Chromatic Games,,16534,4788,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,579
644930,644930,They Are Billions,Numantian Games,Numantian Games,,39137,6793,0,"2,000,000 .. 5,000,000",0,0,0,0,2699,2999,10,3764
265590,265590,The Red Solstice,Ironward,Ironward,,1746,696,0,"2,000,000 .. 5,000,000",0,0,0,0,999,999,0,3
1361210,1361210,"Warhammer 40,000: Darktide",Fatshark,Fatshark,,63733,31186,0,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,6052
527230,527230,For The King,IronOak Games,Curve Games,,34317,4491,0,"2,000,000 .. 5,000,000",0,0,0,0,399,1999,80,2794
1167630,1167630,Teardown,Tuxedo Labs,"Tuxedo Labs, Saber Interactive",,85966,3963,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,3490
640820,640820,Pathfinder: Kingmaker - Enhanced Plus Edition,Owlcat Games,MY.GAMES,,24961,7027,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,982
433340,433340,Slime Rancher,Monomi Park,Monomi Park,,118071,2521,0,"2,000,000 .. 5,000,000",0,0,0,0,499,1999,75,2091
611500,611500,Quake Champions,id Software,Bethesda Softworks,,27666,9960,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,497
1142710,1142710,Total War: WARHAMMER III,"CREATIVE ASSEMBLY, Feral Interactive","SEGA, Feral Interactive",,66558,33841,0,"2,000,000 .. 5,000,000",0,0,0,0,5999,5999,0,46478
815370,815370,Green Hell,Creepy Jar,Creepy Jar,,58519,8985,0,"2,000,000 .. 5,000,000",0,0,0,0,824,2499,67,6300
1942280,1942280,Brotato,Blobfish,Blobfish,,73718,2071,0,"2,000,000 .. 5,000,000",0,0,0,0,499,499,0,5197
436520,436520,Line of Sight,BlackSpot Entertainment,BlackSpot Entertainment,,5416,3684,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,27
393380,393380,Squad,Offworld,Offworld,,146641,32338,0,"2,000,000 .. 5,000,000",0,0,0,0,4999,4999,0,21133
1057240,1057240,Crucible Beta,Relentless Studios,Amazon Games,,4660,6163,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,0
848450,848450,Subnautica: Below Zero,Unknown Worlds Entertainment,Unknown Worlds Entertainment,,80047,7915,0,"1,000,000 .. 2,000,000",0,0,0,0,2999,2999,0,1736
391460,391460,WARMODE,Novalink,Novalink,,10389,6358,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,6
206500,206500,AirMech Strike,Carbon Games,Carbon Games,,8780,1661,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,44
544810,544810,KARDS - The WWII Card Game,1939 Games,1939 Games,,23371,6715,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,1255
319830,319830,AX:EL - Air XenoDawn,Alex Piola,KISS ltd,,923,283,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,1
555160,555160,Pavlov,Vankrupt Games,Vankrupt Games,,35186,3278,0,"1,000,000 .. 2,000,000",0,0,0,0,2499,2499,0,293
736590,736590,Operation: Harsh Doorstop,Drakeling Labs,Benjamin B,,10373,3285,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,739
1304930,1304930,The Outlast Trials,Red Barrels,Red Barrels,,45788,3246,0,"1,000,000 .. 2,000,000",0,0,0,0,3999,3999,0,1919
308600,308600,Gene Shift Auto,Nik Nak Studios,Nik Nak Studios,,1954,410,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,16
706990,706990,BLOCKPOST,Skullcap Studios,Skullcap Studios,,12279,4200,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,51
298240,298240,War Trigger 3,"Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC",,4903,3340,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,10
627690,627690,Idle Champions of the Forgotten Realms,Codename Entertainment Inc.,Codename Entertainment Inc.,,10663,3046,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,4187
949230,949230,Cities: Skylines II,Colossal Order Ltd.,Paradox Interactive,,28700,25894,0,"1,000,000 .. 2,000,000",0,0,0,0,4999,4999,0,7998
228380,228380,Wreckfest,Bugbear,THQ Nordic,,31889,4404,0,"1,000,000 .. 2,000,000",0,0,0,0,2999,2999,0,712
621060,621060,PC Building Simulator,"Claudiu Kiss, The Irregular Corporation",The Irregular Corporation,,46818,3080,0,"1,000,000 .. 2,000,000",0,0,0,0,1999,1999,0,283
809960,809960,Radical Heights,Boss Key Productions,Boss Key Productions,,6090,3779,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,0
635260,635260,CarX Drift Racing Online,"CarX Technologies, LLC","CarX Technologies, LLC",,73382,3522,0,"1,000,000 .. 2,000,000",0,0,0,0,1499,1499,0,2573
280790,280790,Creativerse,Playful Corp.,Playful Corp.,,24199,6890,0,"1,000,000 .. 2,000,000",0,0,0,0,2499,2499,0,79
447820,447820,Day of Infamy,New World Interactive,New World Interactive,,18191,3821,0,"1,000,000 .. 2,000,000",0,0,0,0,1499,1499,0,48
636480,636480,Ravenfield,SteelRaven7,SteelRaven7,,65297,2086,0,"1,000,000 .. 2,000,000",0,0,0,0,1799,1799,0,1074
346010,346010,Besiege,Spiderling Studios,Spiderling Studios,,45301,2115,0,"1,000,000 .. 2,000,000",0,0,0,0,1499,1499,0,832
392160,392160,X4: Foundations,Egosoft,Egosoft,,15491,4291,0,"1,000,000 .. 2,000,000",0,0,0,0,4999,4999,0,3283
392110,392110,ENDLESS Space 2,AMPLITUDE Studios,SEGA,,17898,3547,0,"1,000,000 .. 2,000,000",0,0,0,0,3999,3999,0,783
493520,493520,GTFO,10 Chambers,10 Chambers,,47452,8566,0,"1,000,000 .. 2,000,000",0,0,0,0,3999,3999,0,1025
834910,834910,ATLAS,"Grapeshot Games, Instinct Games","Grapeshot Games, Snail Games USA",,20088,22011,0,"1,000,000 .. 2,000,000",0,0,0,0,2999,2999,0,660
602960,602960,Barotrauma,"FakeFish, Undertow Games",Daedalic Entertainment,,59683,4113,0,"1,000,000 .. 2,000,000",0,0,0,0,1994,3499,43,3992
459820,459820,Crush Crush,Sad Panda Studios,Sad Panda Studios,,23036,2642,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,1006
437220,437220,The Culling,Xaviant,Xaviant Games,,10053,7518,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,1
527430,527430,"Warhammer 40,000: Inquisitor - Martyr",NeocoreGames,NeocoreGames,,14606,4841,0,"1,000,000 .. 2,000,000",0,0,0,0,4999,4999,0,583
774861,774861,Project Winter,Other Ocean Interactive,Other Ocean Group,,15423,3194,0,"1,000,000 .. 2,000,000",0,0,0,0,999,999,0,131
2479810,2479810,Gray Zone Warfare,"MADFINGER Games, a.s.","MADFINGER Games, a.s.",,30210,14949,0,"1,000,000 .. 2,000,000",0,0,0,0,3499,3499,0,7761
510840,510840,Evolvation,"Eric Ruts, Jacob Kooiman",HyperReuts,,629,293,0,"1,000,000 .. 2,000,000",0,0,0,0,199,199,0,3
1987080,1987080,Inside the Backrooms,MrFatcat,"MrFatcat, Dropsiick",,35220,6839,0,"1,000,000 .. 2,000,000",0,0,0,0,699,699,0,1108
568220,568220,Lobotomy Corporation | Monster Management Simulation,ProjectMoon,ProjectMoon,,31549,2297,0,"1,000,000 .. 2,000,000",0,0,0,0,2499,2499,0,4847
346330,346330,BrainBread 2,Reperio Studios,Reperio Studios,,3708,1354,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,9
1147560,1147560,Skul: The Hero Slayer,SOUTHPAW GAMES,NEOWIZ,,47327,3398,0,"1,000,000 .. 2,000,000",0,0,0,0,1999,1999,0,1994
1533390,1533390,Gorilla Tag,Another Axiom Inc.,Another Axiom Inc.,,47320,4723,0,"1,000,000 .. 2,000,000",0,0,0,0,1999,1999,0,1230
2399830,2399830,ARK: Survival Ascended,"Studio Wildcard, Grove Street Games, Instinct Games","Studio Wildcard, Snail Games USA",,31553,22448,0,"1,000,000 .. 2,000,000",0,0,0,0,3599,4499,20,32519
1483870,1483870,Draw & Guess,Acureus,Acureus,,26704,5181,0,"1,000,000 .. 2,000,000",0,0,0,0,299,299,0,2662
674020,674020,World War 3,The Farm 51,"Wishlist Games, The 4 Winds Entertainment",,29284,24728,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,243
2670630,2670630,Supermarket Simulator,Nokta Games,Nokta Games,,34631,2242,0,"1,000,000 .. 2,000,000",0,0,0,0,1299,1299,0,7674
